NAME,NCOMP,MSINI,A,PER,ECC,OM,T0,K,BINARY
WASP-61 b,1,2.05477,0.0514489,3.8559,0,90,2455859.528,233,0
WASP-77 A b,1,1.75912,0.0240531,1.3600309,0,90,2455870.45,321.9,1
WASP-78 b,1,0.877779,0.0361391,2.17517656,0,90,2455882.359,113.8,0
WASP-63 b,1,0.377818,0.0574592,4.37808,0,90,2455921.653,39,0
WASP-66 b,1,2.30754,0.0546221,4.086052,0,90,2455929.096,246,0
M 67 YBP 1194 b,1,0.346328,0.0715732,6.958,0.24,98.62,2455978.8,37.72,0
M 67 YBP 1514 b,1,0.397418,0.057344,5.118,0.39,327.49,2455986.3,52.29,0
Pr 201 b,1,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,0
Pr 211 b,1,1.84394,0.0320419,2.1451,0,90,2456013.989,299.9,0
WASP-75 b,1,1.06236,0.0375112,2.484193,0,90,2456016.267,146,0
WASP-68 b,1,0.956493,0.0621834,5.084298,0,90,2456064.864,97.9,0
WASP-80 b,1,0.551763,0.0344696,3.0678504,0,90,2456125.418,110.9,0
WASP-73 b,1,1.87866,0.0551807,4.08722,0,90,2456128.706,196.3,0
WASP-101 b,1,0.494408,0.0505526,3.585722,0,90,2456164.693,54,0
WASP-99 b,1,2.77639,0.0716458,5.75251,0,90,2456224.982,242.2,0
M 67 SAND 364 b,1,1.88274,0.531449,121.71,0.35,273.51,2456240.9,67.42,0
WASP-96 b,1,0.478203,0.0453489,3.4252602,0,90,2456258.062,62,0
WASP-100 b,1,2.00868,0.0457351,2.849375,0,90,2456272.34,213,0
WASP-84 b,1,0.694028,0.0771322,8.5234865,0,90,2456286.106,77.4,0
WASP-98 b,1,0.828342,0.0356868,2.96264,0,90,2456333.391,150,0
WASP-95 b,1,1.2034,0.0341288,2.184673,0,90,2456338.459,175.7,0
XO-2S c,2,1.371,0.47557,120.8,0.1528,264.5,2456408.1,57.68,1
XO-2S b,2,0.259,0.134393,18.157,0.18,331.9,2456413.11,20.64,1
WASP-94 A b,1,0.418542,0.0532427,3.9501907,0,90,2456416.401,45.4,1
WASP-97 b,1,1.31694,0.0330527,2.07276,0,90,2456438.187,194.5,0
WASP-103 b,1,1.48481,0.0198682,0.925542,0,90,2456459.6,271,0
WASP-88 b,1,0.563202,0.0643804,4.954,0,90,2456477.209,52.4,0
WASP-94 B b,1,0.619839,0.0334746,2.00839,0,90,2456574.359,86.48,1
WASP-82 b,1,1.24969,0.0448252,2.705785,0,90,2456931.844,131,0
NN Ser d,2,0.642621,3.70596,2605,0.05,152,2458029,9.5,0
MOA-2009-BLG-387L b,1,0.33654975,1.76808,1970,0,90,,9.625,0
